"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"106","P7","22plus5","Core 2",2331.131,"0-5-0-5",1.20575458262958,0.690384880559527
"63","P7","22plus5","Core 2",2333.1352,"4-3-0-4",0.469762207102523,0.690384880559527
"50","P7","22plus5","Core 2",2346.1306,"2-3-1-4",1.22538514966643,0.220760905931607
"56","P7","22plus5","Core 2",2363.1458,"3-3-0-5",0.980010413938295,0.0221914496522674
"61","P7","22plus5","Core 2",2374.1618,"4-4-0-3",3.17004992228126,0.983657377129267
"49","P7","22plus5","Core 2",2387.1572,"2-4-1-3",1.35976688841694,0.00937680780001859
"84","P7","22plus5","Core 2",2404.1724,"3-4-0-4",2.04965082915527,0.915187817216232
"71","P7","22plus5","Core 2",2417.1678,"1-4-1-4",2.19732862892233,0.42146516545657
"78","P7","22plus5","Core 2",2434.183,"2-4-0-5",1.51288201126999,0.76431390470594
"54","P7","22plus5","Core 2",2445.199,"3-5-0-3",1.82175382832557,0.492487848584451
"76","P7","22plus5","Core 2",2475.2096,"2-5-0-4",1.28826400553362,0.0026669584614432
"51","P7","22plus5","Core 2",2503.2046,"2-3-2-3",0,0
"109","P7","22plus5","Core 2",2505.2202,"1-5-0-5",0,0
"291","P7","22plus5","Polyhexose",2518.1976,"0-0-0-12",0,0
"59","P7","22plus5","Core 2",2520.2198,"3-3-1-4",0,0
"64","P7","22plus5","Core 2",2537.235,"4-3-0-5",0,0
"58","P7","22plus5","Core 2",2561.2464,"3-4-1-3",0,0
"93","P7","22plus5","Core 2",2578.2616,"4-4-0-4",0,0
"80","P7","22plus5","Core 2",2591.257,"2-4-1-4",0,0
"67","P7","22plus5","Core 2",2604.2524,"0-4-2-4",0,0
"87","P7","22plus5","Core 2",2608.2722,"3-4-0-5",0,0
"62","P7","22plus5","Core 2",2619.2882,"4-5-0-3",0,0
"73","P7","22plus5","Core 2",2621.2676,"1-4-1-5",0,0
"79","P7","22plus5","Core 2",2638.2828,"2-4-0-6",0,0
"85","P7","22plus5","Core 2",2649.2988,"3-5-0-4",0,0
"72","P7","22plus5","Core 2",2662.2942,"1-5-1-4",0,0
"116","P7","22plus5","Core 2",2679.3094,"2-5-0-5",0,0
"107","P7","22plus5","Core 2",2692.3048,"0-5-1-5",0,0
"111","P7","22plus5","Core 2",2709.32,"1-5-0-6",0,0
"77","P7","22plus5","Core 2",2720.336,"2-6-0-4",0,0
"292","P7","22plus5","Polyhexose",2722.2974,"0-0-0-13",0,0
"110","P7","22plus5","Core 2",2750.3466,"1-6-0-5",0,0
"101","P7","22plus5","Core 2",2752.3508,"5-4-0-4",0,0
"89","P7","22plus5","Core 2",2765.3462,"3-4-1-4",0,0
"74","P7","22plus5","Core 2",2778.3416,"1-4-2-4",0,0
"156","P7","22plus5","Core 2",2780.3572,"0-6-0-6",0,0
"96","P7","22plus5","Core 2",2782.3614,"4-4-0-5",0,0
"82","P7","22plus5","Core 2",2795.3568,"2-4-1-5",0,0
"88","P7","22plus5","Core 2",2812.372,"3-4-0-6",0,0
"94","P7","22plus5","Core 2",2823.388,"4-5-0-4",0,0
"81","P7","22plus5","Core 2",2836.3834,"2-5-1-4",0,0
"125","P7","22plus5","Core 2",2853.3986,"3-5-0-5",0,0
"112","P7","22plus5","Core 2",2866.394,"1-5-1-5",0,0
"119","P7","22plus5","Core 2",2883.4092,"2-5-0-6",0,0
"86","P7","22plus5","Core 2",2894.4252,"3-6-0-4",0,0
"117","P7","22plus5","Core 2",2924.4358,"2-6-0-5",0,0
"293","P7","22plus5","Polyhexose",2926.3972,"0-0-0-14",0,0
"98","P7","22plus5","Core 2",2939.4354,"4-4-1-4",0,0
"83","P7","22plus5","Core 2",2952.4308,"2-4-2-4",0,0
"159","P7","22plus5","Core 2",2954.4464,"1-6-0-6",0,0
"104","P7","22plus5","Core 2",2956.4506,"5-4-0-5",0,0
"91","P7","22plus5","Core 2",2969.446,"3-4-1-5",0,0
"97","P7","22plus5","Core 2",2986.4612,"4-4-0-6",0,0
"102","P7","22plus5","Core 2",2997.4772,"5-5-0-4",0,0
"113","P8","22plus0","Core 1",534.2262,"0-1-0-1",2272.00086140808,0.999979916310199
"2831","P8","22plus0","STn",691.3002,"0-1-1-0",227.943747027736,0.156058818563243
