,dHex_count,HexNAc_count,NeuAc_count,Hex_count,mass,Glycan_type,Intensity,Rsquared,Sample_collection_time,Sample_name,Sample_collection
58,3,0,1,0,2953.446,Bi,41.3130456071928,0.996716828993501,22plus5,P7,P7-22plus5
59,1,0,2,0,2966.4414,Bi,108.966651340503,0.998954674840963,22plus5,P7,P7-22plus5
60,0,0,0,0,2968.457,Tetra,14.0608195008355,0.998954674840963,22plus5,P7,P7-22plus5
61,4,0,0,1,2970.4612,Bi,1.45135088249979,0.998954674840963,22plus5,P7,P7-22plus5
62,5,1,0,-1,2981.4772,LacdiNAc,14.3717973649889,0.974071588026738,22plus5,P7,P7-22plus5
63,2,0,1,1,2983.4566,Bi,15.4450111801187,0.974071588026738,22plus5,P7,P7-22plus5
64,3,1,1,-1,2994.4726,LacdiNAc,43.2373469833509,0.979333647597374,22plus5,P7,P7-22plus5
65,4,1,0,0,3011.4878,Bi,46.0741903082904,0.920518566034415,22plus5,P7,P7-22plus5
66,5,2,0,-2,3022.5038,LacdiNAc,5.1767710141316,0.99544362473755,22plus5,P7,P7-22plus5
67,2,1,1,0,3024.4832,Bi,85.3680997464932,0.99544362473755,22plus5,P7,P7-22plus5
68,3,2,1,-2,3035.4992,LacdiNAc,0.0,0.922580138216532,22plus5,P7,P7-22plus5
69,0,1,2,0,3037.4786,Bi,19.604154119872,0.922580138216532,22plus5,P7,P7-22plus5
70,3,0,0,0,3041.4984,Tri,68.5656940769614,0.922580138216532,22plus5,P7,P7-22plus5
71,1,0,1,0,3054.4938,Tri,89.466590647283,0.934037505245009,22plus5,P7,P7-22plus5
72,3,2,0,0,3082.525,Bi,26.0034801390559,0.99795550710066,22plus5,P7,P7-22plus5
73,2,1,0,0,3112.5356,Tri,23.4677542066367,0.959922224612424,22plus5,P7,P7-22plus5
74,0,1,1,0,3125.531,Tri,7.72534901864307,0.923901228412284,22plus5,P7,P7-22plus5
75,4,0,1,0,3127.5352,Bi,7.70694346742209,0.923901228412284,22plus5,P7,P7-22plus5
76,2,0,2,0,3140.5306,Bi,58.5560390425382,0.994587846360117,22plus5,P7,P7-22plus5
77,1,0,0,0,3142.5462,Tetra,27.0874519280072,0.994587846360117,22plus5,P7,P7-22plus5
78,5,0,0,1,3144.5504,Bi,0.0,0.994587846360117,22plus5,P7,P7-22plus5
79,1,2,0,0,3183.5728,Tri,7.02753700337095,0.951319493485843,22plus5,P7,P7-22plus5
80,5,1,0,0,3185.577,Bi,4.13368174924016,0.951319493485843,22plus5,P7,P7-22plus5
81,3,1,1,0,3198.5724,Bi,44.7510206946965,0.992486289297956,22plus5,P7,P7-22plus5
82,1,1,2,0,3211.5678,Bi,109.08849886948,0.993027060255892,22plus5,P7,P7-22plus5
83,0,1,0,0,3213.5834,Tetra,4.20392160080535,0.993027060255892,22plus5,P7,P7-22plus5
84,4,0,0,0,3215.5876,Tri,27.3099506805535,0.993027060255892,22plus5,P7,P7-22plus5
85,2,0,1,0,3228.583,Tri,66.6902619169162,0.905478287945766,22plus5,P7,P7-22plus5
86,0,0,2,0,3241.5784,Tri,47.2419487561834,0.99472314102618,22plus5,P7,P7-22plus5
87,3,0,0,1,3245.5982,Tri,8.09090178000172,0.99472314102618,22plus5,P7,P7-22plus5
88,4,2,0,0,3256.6142,Bi,25.5511284209185,0.986727021286501,22plus5,P7,P7-22plus5
89,1,0,1,1,3258.5936,Tri,5.97021144839772,0.986727021286501,22plus5,P7,P7-22plus5
90,3,1,0,0,3286.6248,Tri,21.9850911522764,0.945963515356749,22plus5,P7,P7-22plus5
91,1,1,1,0,3299.6202,Tri,18.2898913223932,0.968086359659981,22plus5,P7,P7-22plus5
92,3,0,2,0,3314.6198,Bi,21.0667639458539,0.982007351224842,22plus5,P7,P7-22plus5
93,2,0,0,0,3316.6354,Tetra,18.176512246411,0.982007351224842,22plus5,P7,P7-22plus5
94,3,3,0,0,3327.6514,Bi,4.79611069692263,0.977320448430529,22plus5,P7,P7-22plus5
95,0,0,1,0,3329.6308,Tetra,11.3459490099885,0.977320448430529,22plus5,P7,P7-22plus5
96,4,0,1,1,3331.635,Bi,4.37281392677055,0.977320448430529,22plus5,P7,P7-22plus5
97,2,2,0,0,3357.662,Tri,6.14406880362277,0.95743314933555,22plus5,P7,P7-22plus5
98,4,1,1,0,3372.6616,Bi,15.3666578357332,0.990917519829742,22plus5,P7,P7-22plus5
99,2,1,2,0,3385.657,Bi,5.71328906461561,0.986399498429298,22plus5,P7,P7-22plus5
100,1,1,0,0,3387.6726,Tetra,8.71444449551656,0.986399498429298,22plus5,P7,P7-22plus5
101,5,0,0,0,3389.6768,Tri,5.7190378174481,0.986399498429298,22plus5,P7,P7-22plus5
102,3,0,1,0,3402.6722,Tri,49.748775498993,0.991589782668359,22plus5,P7,P7-22plus5
103,1,0,2,0,3415.6676,Tri,26.1374609818937,0.997204894201964,22plus5,P7,P7-22plus5
104,0,0,0,0,3417.6832,Penta,9.8944728599462,0.997204894201964,22plus5,P7,P7-22plus5
105,4,0,0,1,3419.6874,Tri,3.80017092274621,0.997204894201964,22plus5,P7,P7-22plus5
106,5,2,0,0,3430.7034,Bi,11.5257811086734,0.991456594420788,22plus5,P7,P7-22plus5
107,2,0,1,1,3432.6828,Tri,4.1723624821921,0.991456594420788,22plus5,P7,P7-22plus5
108,4,1,0,0,3460.714,Tri,25.0665403348846,0.968577703252821,22plus5,P7,P7-22plus5
109,0,1,2,0,3486.7048,Tri,4.16262737192975,0.962064701792118,22plus5,P7,P7-22plus5
110,3,0,0,0,3490.7246,Tetra,21.6843488414108,0.962064701792118,22plus5,P7,P7-22plus5
111,4,3,0,0,3501.7406,Bi,4.67093088041144,0.996829333197957,22plus5,P7,P7-22plus5
112,1,0,1,0,3503.72,Tetra,26.5061019872254,0.996829333197957,22plus5,P7,P7-22plus5
113,3,2,0,0,3531.7512,Tri,7.27383097671485,0.990241532977063,22plus5,P7,P7-22plus5
114,3,1,2,0,3559.7462,Bi,2.83317899823724,0.990752538873142,22plus5,P7,P7-22plus5
115,2,1,0,0,3561.7618,Tetra,7.5280189991375,0.990752538873142,22plus5,P7,P7-22plus5
116,6,0,0,0,3563.766,Tri,0.770025277341159,0.990752538873142,22plus5,P7,P7-22plus5
117,0,1,1,0,3574.7572,Tetra,2.45213018344786,0.989675091598523,22plus5,P7,P7-22plus5
118,4,0,1,0,3576.7614,Tri,9.45548208445884,0.989675091598523,22plus5,P7,P7-22plus5
119,2,0,2,0,3589.7568,Tri,13.430388242367,0.996333959379418,22plus5,P7,P7-22plus5
120,1,0,0,0,3591.7724,Penta,10.72063919572,0.996333959379418,22plus5,P7,P7-22plus5
121,5,0,0,1,3593.7766,Tri,0.169555529924105,0.996333959379418,22plus5,P7,P7-22plus5
122,0,0,3,0,3602.7522,Tri,25.0016041521051,0.993537664963557,22plus5,P7,P7-22plus5
123,3,0,1,1,3606.772,Tri,4.51485627778047,0.993537664963557,22plus5,P7,P7-22plus5
124,4,2,1,0,3617.788,Bi,6.77550627785109,0.99212159187586,22plus5,P7,P7-22plus5
125,1,0,2,1,3619.7674,Tri,3.82753609939472,0.99212159187586,22plus5,P7,P7-22plus5
126,4,0,0,2,3623.7872,Tri,0.692167485404285,0.99212159187586,22plus5,P7,P7-22plus5
127,1,2,0,0,3632.799,Tetra,4.25728969199031,0.99580989348879,22plus5,P7,P7-22plus5
128,5,1,0,0,3634.8032,Tri,10.5798328893875,0.99580989348879,22plus5,P7,P7-22plus5
129,2,0,1,2,3636.7826,Tri,0.0,0.99580989348879,22plus5,P7,P7-22plus5
130,3,1,1,0,3647.7986,Tri,13.1346569580467,0.967485081404,22plus5,P7,P7-22plus5
131,1,1,2,0,3660.794,Tri,3.62254268548604,0.980682434611808,22plus5,P7,P7-22plus5
132,0,1,0,0,3662.783,Penta,4.45560483696747,0.980682434611808,22plus5,P7,P7-22plus5
133,4,0,0,0,3664.8138,Tetra,25.5090744258394,0.980682434611808,22plus5,P7,P7-22plus5
134,5,3,0,0,3675.8298,Bi,3.39905429033138,0.979467689728675,22plus5,P7,P7-22plus5
135,2,0,1,0,3677.8092,Tetra,22.8899861578745,0.979467689728675,22plus5,P7,P7-22plus5
136,4,2,0,0,3705.8404,Tri,8.07775673344826,0.992218134306646,22plus5,P7,P7-22plus5
137,1,0,1,1,3707.8198,Tetra,0.822389131591406,0.992218134306646,22plus5,P7,P7-22plus5
138,3,1,0,0,3735.851,Tetra,8.32067618310182,0.987819449882226,22plus5,P7,P7-22plus5
139,7,0,0,0,3737.8552,Tri,0.0,0.987819449882226,22plus5,P7,P7-22plus5
140,1,1,1,0,3748.8464,Tetra,4.90458710121674,0.967608875084458,22plus5,P7,P7-22plus5
141,5,0,1,0,3750.8506,Tri,3.29539249939428,0.967608875084458,22plus5,P7,P7-22plus5
142,3,0,2,0,3763.846,Tri,11.4562376407882,0.994324934128098,22plus5,P7,P7-22plus5
143,2,0,0,0,3765.8616,Penta,8.29987357726652,0.994324934128098,22plus5,P7,P7-22plus5
144,6,0,0,1,3767.8658,Tri,0.0,0.994324934128098,22plus5,P7,P7-22plus5
145,1,0,3,0,3776.8414,Tri,11.4122275006518,0.991545608440498,22plus5,P7,P7-22plus5
146,0,0,1,0,3778.857,Penta,2.92892031523162,0.991545608440498,22plus5,P7,P7-22plus5
147,4,0,1,1,3780.8612,Tri,2.93068735976777,0.991545608440498,22plus5,P7,P7-22plus5
148,2,2,0,0,3806.8882,Tetra,4.04917862609806,0.946493648785103,22plus5,P7,P7-22plus5
149,6,1,0,0,3808.8924,Tri,0.693826741024439,0.946493648785103,22plus5,P7,P7-22plus5
150,3,0,1,2,3810.8718,Tri,0.975096568265994,0.946493648785103,22plus5,P7,P7-22plus5
151,4,1,1,0,3821.8878,Tri,10.7709384777155,0.998157640693508,22plus5,P7,P7-22plus5
152,2,1,2,0,3834.8832,Tri,5.66573450507137,0.975980518485953,22plus5,P7,P7-22plus5
153,1,1,0,0,3836.8722,Penta,4.43578026369288,0.975980518485953,22plus5,P7,P7-22plus5
154,5,0,0,0,3838.903,Tetra,9.2871874063699,0.975980518485953,22plus5,P7,P7-22plus5
155,0,1,3,0,3847.8786,Tri,1.71115923783079,0.994694905426901,22plus5,P7,P7-22plus5
156,3,0,1,0,3851.8984,Tetra,21.1225839676234,0.994694905426901,22plus5,P7,P7-22plus5
157,1,0,2,0,3864.8938,Tetra,9.34198396174807,0.986103730757766,22plus5,P7,P7-22plus5
158,0,0,0,0,3866.9094,Hexa,2.7214400842843,0.986103730757766,22plus5,P7,P7-22plus5
159,4,0,0,1,3868.9136,Tetra,2.19169300861675,0.986103730757766,22plus5,P7,P7-22plus5
160,5,2,0,0,3879.9296,Tri,10.1533476215162,0.996734562446419,22plus5,P7,P7-22plus5
161,2,0,1,1,3881.909,Tetra,1.14340973191027,0.996734562446419,22plus5,P7,P7-22plus5
162,1,2,2,0,3905.9204,Tri,1.30160010131425,0.972318010233191,22plus5,P7,P7-22plus5
163,4,1,0,0,3909.9402,Tetra,8.37027512732663,0.972318010233191,22plus5,P7,P7-22plus5
164,2,1,1,0,3922.9356,Tetra,6.565410900599,0.980230850731995,22plus5,P7,P7-22plus5
165,6,0,1,0,3924.9398,Tri,1.52628776522169,0.980230850731995,22plus5,P7,P7-22plus5
166,0,1,2,0,3935.931,Tetra,0.853714293548671,0.991283817813085,22plus5,P7,P7-22plus5
167,4,0,2,0,3937.9352,Tri,6.00108001875564,0.991283817813085,22plus5,P7,P7-22plus5
168,3,0,0,0,3939.9508,Penta,6.73335371559634,0.991283817813085,22plus5,P7,P7-22plus5
169,7,0,0,1,3941.955,Tri,0.0,0.991283817813085,22plus5,P7,P7-22plus5
170,2,0,3,0,3950.9306,Tri,3.91023767783775,0.994672396988229,22plus5,P7,P7-22plus5
171,1,0,1,0,3952.9462,Penta,10.5741966199408,0.994672396988229,22plus5,P7,P7-22plus5
172,5,0,1,1,3954.9504,Tri,0.793682401181643,0.994672396988229,22plus5,P7,P7-22plus5
173,2,3,1,0,3963.9622,Tri,1.21454020247143,0.943324928123442,22plus5,P7,P7-22plus5
174,3,0,2,1,3967.9458,Tri,2.42890609571396,0.943324928123442,22plus5,P7,P7-22plus5
175,2,0,0,1,3969.988,Penta,1.25700487984534,0.943324928123442,22plus5,P7,P7-22plus5
176,6,0,0,2,3971.9656,Tri,0.071808424596048,0.943324928123442,22plus5,P7,P7-22plus5
177,3,2,0,0,3980.9774,Tetra,3.1856728977748,0.926435688191362,22plus5,P7,P7-22plus5
178,7,1,0,0,3982.9816,Tri,0.0,0.926435688191362,22plus5,P7,P7-22plus5
179,4,0,1,2,3984.961,Tri,0.59599995273026,0.926435688191362,22plus5,P7,P7-22plus5
180,1,2,1,0,3993.9728,Tetra,1.02415057596529,0.985405505262098,22plus5,P7,P7-22plus5
181,5,1,1,0,3995.977,Tri,4.43617039934275,0.985405505262098,22plus5,P7,P7-22plus5
182,3,1,2,0,4008.9724,Tri,3.12584831854989,0.992109854443759,22plus5,P7,P7-22plus5
183,2,1,0,0,4010.9614,Penta,2.69509123363475,0.992109854443759,22plus5,P7,P7-22plus5
184,6,0,0,0,4012.9922,Tetra,2.05276185165459,0.992109854443759,22plus5,P7,P7-22plus5
185,1,1,3,0,4021.9678,Tri,1.51034464915953,0.989039456094452,22plus5,P7,P7-22plus5
186,0,1,1,0,4023.9568,Penta,0.644483702940168,0.989039456094452,22plus5,P7,P7-22plus5
187,4,0,1,0,4025.9876,Tetra,14.4900141302545,0.989039456094452,22plus5,P7,P7-22plus5
188,2,0,2,0,4038.983,Tetra,6.49448836904125,0.993434629504968,22plus5,P7,P7-22plus5
189,1,0,0,0,4040.9986,Hexa,5.98107105939744,0.993434629504968,22plus5,P7,P7-22plus5
190,5,0,0,1,4043.0028,Tetra,1.22303022014612,0.993434629504968,22plus5,P7,P7-22plus5
191,0,0,3,0,4051.9784,Tetra,2.75810258897797,0.984167261621083,22plus5,P7,P7-22plus5
192,6,2,0,0,4054.0188,Tri,3.42689910185529,0.984167261621083,22plus5,P7,P7-22plus5
193,3,0,1,1,4055.9982,Tetra,2.26229453494467,0.984167261621083,22plus5,P7,P7-22plus5
194,4,2,1,0,4067.0142,Tri,2.65835992954348,0.964401622666642,22plus5,P7,P7-22plus5
195,1,0,2,1,4068.9936,Tetra,1.82010125948872,0.964401622666642,22plus5,P7,P7-22plus5
196,4,0,0,2,4073.0134,Tetra,0.700201751572346,0.964401622666642,22plus5,P7,P7-22plus5
197,2,2,2,0,4080.0096,Tri,0.962226547980462,0.997071042030995,22plus5,P7,P7-22plus5
198,1,2,0,0,4081.972,Penta,0.871910256274458,0.997071042030995,22plus5,P7,P7-22plus5
199,5,1,0,0,4084.0294,Tetra,9.69817713982501,0.997071042030995,22plus5,P7,P7-22plus5
200,2,0,1,2,4086.0088,Tetra,0.0,0.997071042030995,22plus5,P7,P7-22plus5
201,1,1,2,0,4110.0202,Tetra,1.62916878364373,0.967101806783914,22plus5,P7,P7-22plus5
202,5,0,2,0,4112.0244,Tri,2.07463150603183,0.967101806783914,22plus5,P7,P7-22plus5
203,4,0,0,0,4114.04,Penta,6.18155103490529,0.967101806783914,22plus5,P7,P7-22plus5
204,3,0,3,0,4125.0198,Tri,7.25402776078492,0.992782754826213,22plus5,P7,P7-22plus5
205,2,0,1,0,4127.0354,Penta,10.1247384084541,0.992782754826213,22plus5,P7,P7-22plus5
206,6,0,1,1,4129.0396,Tri,0.0708990128222482,0.992782754826213,22plus5,P7,P7-22plus5
207,3,3,1,0,4138.0514,Tri,0.731452077641417,0.981505582967636,22plus5,P7,P7-22plus5
208,0,0,2,0,4140.0308,Penta,1.33908830608661,0.981505582967636,22plus5,P7,P7-22plus5
209,4,0,2,1,4142.035,Tri,2.19208545169947,0.981505582967636,22plus5,P7,P7-22plus5
210,3,0,0,1,4144.0772,Penta,1.07564256324664,0.981505582967636,22plus5,P7,P7-22plus5
211,7,0,0,2,4146.0548,Tri,0.0,0.981505582967636,22plus5,P7,P7-22plus5
212,4,2,0,0,4155.0666,Tetra,2.95255801361286,0.99183979819375,22plus5,P7,P7-22plus5
213,1,0,1,1,4157.0726,Penta,0.130443580694742,0.99183979819375,22plus5,P7,P7-22plus5
214,5,0,1,2,4159.0502,Tri,0.433708868797059,0.99183979819375,22plus5,P7,P7-22plus5
215,2,2,1,0,4168.062,Tetra,0.887552697727304,0.920606981179248,22plus5,P7,P7-22plus5
216,6,1,1,0,4170.0662,Tri,1.13632088104509,0.920606981179248,22plus5,P7,P7-22plus5
217,2,0,0,2,4174.1144,Penta,0.498525762531576,0.920606981179248,22plus5,P7,P7-22plus5
218,6,0,0,3,4176.0654,Tri,0.0,0.920606981179248,22plus5,P7,P7-22plus5
219,4,1,2,0,4183.0616,Tri,3.31347148711128,0.982029922998253,22plus5,P7,P7-22plus5
220,3,1,0,0,4185.0506,Penta,2.078869755451,0.982029922998253,22plus5,P7,P7-22plus5
221,7,0,0,0,4187.0814,Tetra,0.333621118063494,0.982029922998253,22plus5,P7,P7-22plus5
222,2,1,3,0,4196.057,Tri,1.92897430251575,0.986690706581537,22plus5,P7,P7-22plus5
223,1,1,1,0,4198.046,Penta,1.14868195615013,0.986690706581537,22plus5,P7,P7-22plus5
224,5,0,1,0,4200.0768,Tetra,4.24425211363628,0.986690706581537,22plus5,P7,P7-22plus5
225,3,0,2,0,4213.0722,Tetra,5.20322503739203,0.996022907063402,22plus5,P7,P7-22plus5
226,2,0,0,0,4215.0878,Hexa,3.92911945948044,0.996022907063402,22plus5,P7,P7-22plus5
