"","Sample.name","Sample.collection.time","Glycan.type","mass","Composition: dHex-HexNAc-NeuAc-Hex","Intensity","Rsquared"
"59","P7","22plus5","Bi",2676.3048,"0-5-1-5",60.6725487331398,0.921042206534196
"60","P7","22plus5","Tri",2693.32,"1-5-0-6",74.6290130942062,0.957386598826008
"61","P7","22plus5","Polyhexose",2722.2974,"0-0-0-13",10.8303728422614,0.99374123384472
"62","P7","22plus5","Bi",2734.3466,"1-6-0-5",13.1338417491639,0.991056993820022
"63","P7","22plus5","Hybrid",2738.3302,"2-3-1-6",3.75410889528104,0.991056993820022
"64","P7","22plus5","Tri",2764.3572,"0-6-0-6",16.3149809270302,0.995608660674559
"65","P7","22plus5","Bi",2766.3614,"4-4-0-5",10.583397121792,0.995608660674559
"66","P7","22plus5","Bi",2779.3568,"2-4-1-5",299.005722532657,0.987666682040732
"67","P7","22plus5","Bi",2792.3522,"0-4-2-5",369.114578906193,0.99430126318841
"68","P7","22plus5","Bi",2796.372,"3-4-0-6",33.8412328769272,0.99430126318841
"69","P7","22plus5","LacdiNAc",2807.388,"4-5-0-4",49.5426893260301,0.924911157131127
"70","P7","22plus5","Bi",2809.3674,"1-4-1-6",36.3611844782252,0.924911157131127
"71","P7","22plus5","LacdiNAc",2820.3834,"2-5-1-4",84.5147259844746,0.980172702202507
"72","P7","22plus5","Bi",2826.3826,"2-4-0-7",7.29126476540644,0.60940862249412
"73","P7","22plus5","Bi",2837.3986,"3-5-0-5",131.448471560831,0.970199223985805
"74","P7","22plus5","LacdiNAc",2848.4146,"4-6-0-3",5.95597245504677,0.997791396728049
"75","P7","22plus5","Bi",2850.394,"1-5-1-5",291.016912866423,0.997791396728049
"76","P7","22plus5","LacdiNAc",2861.41,"2-6-1-3",8.91041531996037,0.54807092169765
"77","P7","22plus5","Tri",2867.4092,"2-5-0-6",91.5108890426891,0.844219591759182
"78","P7","22plus5","Tri",2880.4046,"0-5-1-6",89.027075524415,0.862216373632108
"79","P7","22plus5","Tri",2897.4198,"1-5-0-7",15.4271230469403,0.602640572368124
"80","P7","22plus5","Bi",2908.4358,"2-6-0-5",20.1586626890735,0.998028028609787
"81","P7","22plus5","Polyhexose",2926.3972,"0-0-0-14",6.19994428361253,0.636455464116128
"82","P7","22plus5","Tri",2938.4464,"1-6-0-6",22.3702017117979,0.992525544444252
"83","P7","22plus5","Bi",2940.4506,"5-4-0-5",0.793792391703108,0.992525544444252
"84","P7","22plus5","Bi",2953.446,"3-4-1-5",41.3130456071928,0.996716828993501
"85","P7","22plus5","Bi",2966.4414,"1-4-2-5",108.966651340503,0.998954674840963
"86","P7","22plus5","Tetra",2968.457,"0-6-0-7",14.0608195008355,0.998954674840963
"87","P7","22plus5","Bi",2970.4612,"4-4-0-6",1.45135088249979,0.998954674840963
"88","P7","22plus5","LacdiNAc",2981.4772,"5-5-0-4",14.3717973649889,0.974071588026738
"89","P7","22plus5","Bi",2983.4566,"2-4-1-6",15.4450111801187,0.974071588026738
"90","P7","22plus5","LacdiNAc",2994.4726,"3-5-1-4",43.2373469833509,0.979333647597374
"91","P7","22plus5","Bi",3000.4718,"3-4-0-7",3.98940015184085,0.446473905480113
"92","P7","22plus5","Bi",3011.4878,"4-5-0-5",46.0741903082904,0.920518566034415
"93","P7","22plus5","LacdiNAc",3022.5038,"5-6-0-3",5.1767710141316,0.99544362473755
"94","P7","22plus5","Bi",3024.4832,"2-5-1-5",85.3680997464932,0.99544362473755
"95","P7","22plus5","LacdiNAc",3035.4992,"3-6-1-3",-0.564434845926551,0.922580138216532
"96","P7","22plus5","Bi",3037.4786,"0-5-2-5",19.604154119872,0.922580138216532
"97","P7","22plus5","Tri",3041.4984,"3-5-0-6",68.5656940769614,0.922580138216532
"98","P7","22plus5","Tri",3054.4938,"1-5-1-6",89.466590647283,0.934037505245009
"99","P7","22plus5","Tri",3071.509,"2-5-0-7",14.5333257024837,0.582710778975795
"100","P7","22plus5","Bi",3082.525,"3-6-0-5",26.0034801390559,0.99795550710066
"101","P7","22plus5","Bi",3095.5204,"1-6-1-5",7.9925969141399,0.192843730023701
"102","P7","22plus5","Tri",3112.5356,"2-6-0-6",23.4677542066367,0.959922224612424
"103","P7","22plus5","Tri",3125.531,"0-6-1-6",7.72534901864307,0.923901228412284
"104","P7","22plus5","Bi",3127.5352,"4-4-1-5",7.70694346742209,0.923901228412284
"105","P7","22plus5","Polyhexose",3130.497,"0-0-0-15",2.97396895022964,0.923901228412284
"106","P7","22plus5","Bi",3140.5306,"2-4-2-5",58.5560390425382,0.994587846360117
"107","P7","22plus5","Tetra",3142.5462,"1-6-0-7",27.0874519280072,0.994587846360117
"108","P7","22plus5","Bi",3144.5504,"5-4-0-6",-3.57789573198615,0.994587846360117
"109","P7","22plus5","Bi",3153.5622,"2-7-0-5",6.73507152821119,0.710250734061408
"110","P7","22plus5","Bi",3157.5458,"3-4-1-6",13.4924910212092,0.710250734061408
"111","P7","22plus5","Bi",3174.561,"4-4-0-7",2.08671358246352,0.0440356896772174
"112","P7","22plus5","Tri",3183.5728,"1-7-0-6",7.02753700337095,0.951319493485843
